ライオン,250,250,サバンナに住む百獣の王。兄弟や家族を大事にし、ネコ科の動物の中では唯一むれを作り生活する。
ホッキョクグマ,340,700,北極に住む地上最大の肉食獣。毛は白く見えるが実は透明で光を通し、黒い地肌で熱を吸収する。
インドコブラ,90,5,大きなフードが特徴のヘビ。背面には大きな目玉模様があり、これを広げて敵を威嚇する。
ヨーロッパオオカミ,150,60,北ヨーロッパの森に棲み、全ての犬の祖先とも言われる。遠吠えをして仲間たちと位置を知らせあう。
ジャイアントパンダ,190,125,愛らしさで有名な、幻の動物。竹や笹をうまくつかんで食べるために、手には6本目の指がある。
ナイルワニ,600,1000,ギザギザしたしっぽが特徴のワニ。敵にかみついて沼に引きずり込み、体を回転させ肉をちぎりとる。
チーター,150,72,最高時速110キロで走れる地上最速の動物。そのスピードで狙われたら、どんな動物も逃げられない!
ヒョウ,190,90,身のこなしがとても機敏で、木登りが得意。倒した獲物は安全な木の上に運んでから食べる。
クロヒョウ,190,90,ヒョウの黒変種。突然変異のために黒くなったが、よく見ると体にはヒョウと同じがらがある。
ユキヒョウ,130,75,標高6000メートルもの高山に棲むヒョウ。白くふさふさした毛皮をもち、寒さにも耐えられる。
リカオン,110,36,リカオンとは「色鮮やかなオオカミ」という意味。仲間たちと群れを作り、協力して狩りをする。
ヨコスジジャッカル,80,14,家族のきずなが強く、前の年に生まれた子供がヘルパーとして赤ちゃんの世話をし、お母さんを助ける。
ツキノワグマ,180,150,クマは逃げるものを追う習性があるので、もし森で出会ってしまった時は静かに後ずさりするとよい。
ヒグマ,300,450,ユーラシア大陸に広く分布する大型のクマ。長い爪と筋肉質の体を持つ強力なパワーファイターだ。
インドガビアル,700,900,ガンジス川に住むスマートなワニ。細くのびた口には細かい歯がぎっしりで、とらえた魚を逃さない。
ガラガラヘビ,80,5,しっぽのガラガラで音を出し、敵を威嚇する。この発音装置は脱皮した時の殻が積み重なったもの。
ベンガルトラ,280,300,現存するネコ科の中では最大の動物で、一度に40キロもの肉を食べる。草むらにひそみ獲物を狙う。
アフリカゾウ,500,7000,アフリカに棲む地上最大の動物。長い鼻を使って水浴びをしたり、上手に食べ物をとったりする。
インドサイ,380,2200,ぶ厚いヨロイのような皮膚を持つ一本角のサイ。泳ぎもうまく、水中でも機敏に活動できる。
アナコンダ,300,80,アマゾンの湿地帯に棲む、世界最大級のヘビの種族。水に潜って敵を待ち伏せ、巻きついて絞め殺す。
カバ,270,5100,アフリカの川にのみ棲み、地上ではゾウの次に大きい。皮膚は乾燥に弱いため日中は水の中で過ごす。
ローランドゴリラ,180,200,西アフリカの熱帯雨林に棲み、ヒトを含む霊長目では最大。オスは、腕で胸を叩いて敵を威嚇する。
オランウータン,160,150,ほとんど樹上で生活し、木の枝で毎晩新しい巣を作って眠る。マレー語で「森の人」を意味する。
インドゾウ,350,3000,小さい耳が特徴のゾウ。頭がよく、インドでは人に飼われていろんな仕事をこなしている。
シロサイ,400,2300,2本の角を持つサイで、長い方は1.3メートルにもなる。このツノは、皮膚と毛がかたまってできたもの。
キングコブラ,600,12,毒ヘビの中では最も体が長いヘビの王者。主食はヘビで、学名は「ヘビを食べるもの」の意味。
アメリカアリゲーター,500,1000,ミシシッピー川に棲む大型のワニ。口を大きく開けていることが多く、これは体温調節のためである。
ナミチスイコウモリ,9,0.05,どうくつの奥などに棲み、夜になると血を求めてさまよう吸血鬼。実は地面を走るのも得意だ。
ウサギコウモリ,6,0.03,小型のコウモリ。ウサギのような大きな耳で超音波をキャッチし、暗闇でも自在に飛びまわれる。
トゲヤマガメ,22,1.5,特徴的なトゲは身を守るためのもの。幼体ほど鋭く、成長とともになめらかになっていく。
ワニガメ,80,110,淡水に棲むカメでは世界最大。顎はたいへん鋭く噛む力も強力で、近く場合は注意が必要。
マタマタ,50,35,枯葉に似せた手足、岩によく似た甲羅を持ち、じっと水底に潜んで敵をあざむき獲物を狙う。
アフリカスイギュウ,300,900,群れを作って身を守る習性を持ち、ライオンですら手が出せない。最大で2000頭もの大群になる。
ヨーロッパバイソン,350,1400,オスは成長とともに肩から頭部にかけてが大きく盛り上がり、特徴的な力強い風貌となる。
ホルスタイン,160,1100,日本の乳牛は98%がホルスタイン。牛乳はカルシウムが豊富、たくさん飲んで強くなろう!
メキシコサラマンダー,23,0.22,子どもの姿のまま大人になる珍しい両生類。日本では「ウーパールーパー」の愛称で親しまれた。
アミメキリン,530,1000,休むときも眠るときも、常に首を立てたまま。高い頭に血液を送るため、心臓は非常に強い。
コモドオオトカゲ,300,160,現代の恐竜とも呼ばれる世界最大のトカゲ。家畜の豚を丸呑みにしたり、時には人も襲うなど非常に獰猛。
ブチハイエナ,180,80,12種類もの鳴き声を使い分け、仲間同士で連絡を取り合い狩りをする。群れのリーダーはメスがつとめる。
マルミミゾウ,450,5500,アフリカの熱帯雨林に棲み、現生するゾウ科の動物の中では最も小さい。小さくて丸い耳が特徴。
ガラパゴスゾウガメ,130,300,ガラパゴス諸島にのみ棲む最大のリクガメ。同じガラパゴス諸島でも甲羅の形は島によって異なる。
レッサーパンダ,60,5,中国などに棲むが滅多に見つけられない。かつて「パンダ」と言えばレッサーパンダのことだった。
コアラ,70,10,オーストラリアでユーカリのみを食べて過ごす。子どもが入る袋は後ろ向きについている。
アカカンガルー,150,66,オーストラリアの草原に棲み、カンガルー科では最大。体が赤いのはオスで、メスは青みのかかった灰色。
イボイノシシ,125,100,小規模な群れを作り生活をする。基本的に草を食べるが、時には虫や肉なども食べる。
シマウマ,300,450,しま模様が特徴的で、他の動物を含んだ群れを作る。しま模様のおかげで捕食者は獲物とする個体を見分けにくい。
カピバラ,120,55,体長が1メートルを超える世界最大のげっ歯類。身を守るために5分以上水の中に潜ることができる。
チンパンジー,85,50,道具を使ってシロアリや硬い果物などを食べる。知能が高く、簡単な言語を取得することもできる。
コビトカバ,170,260,世界三大珍獣の一つ。湿度の高い場所に生息するため、カバと異なり陸上で行動することが多い。
ラブラドール・レトリバー,80,36,カナダ原産の大型犬。非常に賢く、盲導犬としても活躍するのは大部分がレトリバーだ。
ダックスフント,70,9,胴が長く足が短いのが特徴。巣穴の中にいるアナグマを狩るためにこのような体になった。
パグ,40,8,鼻が短いのが特徴。骨格がしっかりしているため鳴き声は低い声になることが多い。
アメリカン・ショートヘア,45,6,好奇心旺盛で遊ぶのが大好きなので、人や犬などの同居人と仲良く暮らせため飼育しやすい。
ネザーランド・ドワーフ,26,1,オランダ原産のカイウサギ。なおピーターラビットのモチーフはこのウサギではない。
ハツカネズミ,9,0.25,実験動物として様々な改造をされているネズミ。ちなみにミッキーマウスは白ハツカネズミである。
サラブレッド,200,500,競走馬として品種改良されたウマ。1頭1頭に血統書があり、その体は非常にデリケート。
ロバ,180,450,ウマと比べて小型で気性が荒いものが多い。餌は少なくても大丈夫なため乾燥した土地などでも生活できる。
チワワ,30,3,世界で最も小さな犬。体は小さいが自分よりも大きい犬に対して怯えることなく立ち向かう。
ニホンアマガエル,4,0.02,日本の全域や東アジアに広く分布する。動いているものに反応するため動かない獲物は食べない。
ヌー,170,250,ウシカモシカとも呼ばれる。4月になると数万頭から数十万頭にもなる大規模な群れで大移動する。
トムソンガゼル,110,30,斜め後ろに伸びたツノが特徴。乾季になると数百頭にもなる群れを作るが、この群れは雨季になると分散する。
オカピ,250,250,コンゴにのみ生息する非常に珍しい動物。足にはシマウマのようなシマがあるがキリンの仲間である。
マントヒヒ,80,20,威嚇やコミュニケーションの時に口を大きく開けて犬歯をむき出しにする。古代エジプトでは神の使者として崇められた。
クロサイ,290,1300,シロサイよりも口の幅が狭い。上唇がよく動くため木の葉を口元に大量に引き寄せて食べることができる。
ブラックバック,150,50,インドやネパールの動物だがアメリカにもいる。成長したオスは体が黒い毛に覆われ、ツノはらせん状にねじれる。
モウコノウマ,260,300,現存する唯一の野生の馬。野生の個体は人によって絶滅させられ、人によって再び野生に戻った。
アメリカバイソン,380,900,北アメリカ大陸に広く分布する。ネイティブ・アメリカンの生活はアメリカバイソンに支えられた。
アメリカグマ,200,400,ヒグマのいない森林に広く分布する。雑食で果物や肉、ハチミツなどを食べる。
ヘラジカ,310,825,北方に生息する偶蹄類では最大級。ユーラシア大陸ではエルク、北アメリカではムースと呼ばれる。
ニホンカモシカ,110,45,日本にのみ生息する特別天然記念物。雪が積もると前足で雪をかき分けて食べ物を探す。
アムールトラ,250,300,アジア東部の森林に生息するが、その森林が伐採されているため数が減少している。
マンドリル,81,27,赤い鼻に青い頬、黄色いヒゲとカラフルな顔が特徴。この顔は昼間でも暗い熱帯雨林で仲間を見分けるためのもの。
ジャワサイ,320,2000,かつては東南アジアに広く分布していたが、現在はインドネシアのジャワ島西部にしかいない。
ウンピョウ,100,23,標高2000mの森林に生息する。木の上から通りかかった獲物を襲うこともある。
マレーバク,250,540,胴体の中央は白で、それ以外は黒い。この模様は夜になると体の輪郭を分かりづらくする。
ジャガー,185,90,アメリカ大陸の密林に生息する。ヒョウに似ているがヒョウよりも大きく、噛む力が非常に強い。
オオアリクイ,120,39,主にアリやシロアリを食べる。前足の爪でアリの巣を破壊し長い舌を素早く出し入れして捕食する。
ティラノサウルス,1300,6000,6500万年前に絶滅した史上最強の肉食恐竜。鋭い歯にはステーキナイフのようなギザギザが付いている。
